Kanji,Reading,Meaning,Level
お八,おやつ,between-meal snack; mid-afternoon (around 3 o'clock) snack,1
凡そ,およそ,about; roughly,1
及び,および,and; as well as,1
及ぶ,およぶ,to reach; to amount to,1
織,おり,weave; weaving,1
檻,おり,cage; pen,1
折り返す,おりかえす,"to turn up (hem, sleeves, etc.); to fold back (e.g. page)",1
織物,おりもの,textile; fabric,1
織る,おる,to weave,1
俺,おれ,I; me,1
愚か,おろか,foolish; stupid,1
疎か,おろそか,not to mention ...; needless to say ...,1
終わる,おわる,to end; to come to an end,1
音色,おんいろ,tone color; tone colour,1
温和,おんわ,mild (climate); temperate,1
仮,か,lacking substance and existing in name only; something without substance,1
科,か,error; mistake,1
個,か,counter used with Sino-Japanese words; general-purpose counter,1
下位,かい,low rank; lower position,1
階,かい,stairs; stairs at the front of a noh stage,1
改悪,かいあく,changing (something) for the worse; disimprovement,1
海運,かいうん,maritime transport; shipping,1
改革,かいかく,reform; reformation,1
貝殻,かいがら,seashell; shell,1
階級,かいきゅう,(social) class; rank,1
海峡,かいきょう,channel (e.g. between two land masses); strait,1
会見,かいけん,interview; audience,1
介護,かいご,nursing; care,1
開催,かいさい,"holding (a conference, exhibition, etc.); opening",1
回収,かいしゅう,collection; recovery,1
改修,かいしゅう,repair; improvement,1
怪獣,かいじゅう,monster,1
解除,かいじょ,termination (of a contract); cancellation,1
回送,かいそう,forwarding; sending on,1
階層,かいそう,class; level,1
開拓,かいたく,reclamation (e.g. of wasteland); cultivation,1
会談,かいだん,talks (i.e. formal discussions); conference,1
改定,かいてい,"revision (of a rule, price, etc.); alteration",1
改訂,かいてい,revision (of text); alteration,1
街道,かいどう,highway (esp. one existing from the Edo period); main road,1
介入,かいにゅう,intervention,1
開発,かいはつ,development; cultivation,1
海抜,かいばつ,height above sea level,1
介抱,かいほう,nursing; looking after,1
解剖,かいぼう,dissection; autopsy,1
回覧,かいらん,circulation (esp. of documents); sending round,1
海流,かいりゅう,ocean current,1
改良,かいりょう,improvement; reform,1
回路,かいろ,circuit; cycle (e.g. Krebs cycle),1
顧みる,かえりみる,to look back on (the past); to reflect on,1
省みる,かえりみる,"to reflect on (oneself, past conduct, etc.); to contemplate",1
返る,かえる,to return; to come back,1
顔付き,かおつき,(outward) looks; features,1
掲げる,かかげる,"to put up (a notice, sign, etc.); to hang out (e.g. a banner)",1
踵,かかと,"heel (of foot, shoe, stocking, etc.)",1
係り,かかり,charge; duty,1
課外,かがい,extracurricular,1
書き取り,かきとり,writing down from other written material; writing kanji text from hiragana,1
書き取る,かきとる,to write down (what someone says); to take down dictation,1
掻き回す,かきまわす,to stir; to churn,1
欠く,かく,to chip; to nick,1
角,かく,angle; square,1
核,かく,seed (of a fruit); pit,1
格,かく,amendment (to ritsuryō); status,1
佳句,かく,beautiful passage of literature,1
画,かく,stroke (of a kanji); picture,1
格差,かくさ,qualitative difference; disparity,1
拡散,かくさん,spreading; disseminating,1
各種,かくしゅ,every kind; all sorts,1
隔週,かくしゅう,every other week; every two weeks,1
確信,かくしん,conviction; belief,1
革新,かくしん,reform; innovation,1
確定,かくてい,decision; settlement,1
獲得,かくとく,acquisition; possession,1
確保,かくほ,securing; obtaining,1
革命,かくめい,revolution; 58th year of the sexagenary cycle (in Onmyōdō),1
確立,かくりつ,establishment; settlement,1
賭け,かけ,bet; wager,1
掛け,かけ,-clad; in the midst of,1
駆け足,かけあし,running fast; double time,1
家計,かけい,household economy; family finances,1
駆けっこ,かけっこ,(foot) race; sprint,1
駆ける,かける,to run; to dash,1
賭ける,かける,to wager; to bet,1
ヶ月,かげつ,counter for months,1
加工,かこう,manufacturing; processing,1
化合,かごう,chemical combination,1
嵩張る,かさばる,to be bulky; to be unwieldy,1
嵩む,かさむ,to mount up; to pile up,1
風車,かざぐるま,windmill; wind turbine,1
畏まりました,かしこまりました,certainly!; very well,1
華奢,かしゃ,lavish; luxurious,1
箇所,かしょ,place; point,1
火傷,かしょう,burn; scald,1
箇条書き,かじょうがき,itemized form; itemised form,1
噛る,かじる,to gnaw; to nibble,1
微か,かすか,faint; dim,1
霞む,かすむ,to become misty; to become hazy,1
化する,かする,to change (into); to turn (into),1
擦る,かする,to rub in; to smear on,1
火星,かせい,Mars (planet),1
化石,かせき,fossil; petrifaction,1
河川,かせん,rivers,1
化繊,かせん,synthetic fiber; synthetic fibre,1
過疎,かそ,underpopulation; low population density,1
過多,かた,excess; surplus,1
